MESSPUNKT;JAHR;MONAT;ZEIT_VON;ZEIT_BIS;MESSWERT
5;2011;Juli;20110630;20110801;51
5;2011;August;20110801;20110901;43
5;2011;September;20110901;20110929;39
5;2011;Oktober;20110929;20111102;49
5;2011;November;20111102;20111130;52
5;2011;Dezember;20111130;20111229;28
5;2012;Januar;20111229;20120201;47
5;2012;Februar;20120201;20120301;58
5;2012;März;20120301;20120330;64
5;2012;April;20120330;20120503;48
5;2012;Mai;20120503;20120601;53
5;2012;Juni;20120601;20120703;39
5;2012;Juli;20120703;20120801;41
5;2012;August;20120801;20120831;44
5;2012;September;20120831;20121001;54
5;2012;Oktober;20121001;20121102;49
5;2012;November;20121102;20121130;45
5;2012;Dezember;20121130;20121228;47
5;2013;Januar;20121228;20130201;46
5;2013;Februar;20130201;20130301;57
5;2013;März;20130301;20130402;65
5;2013;April;20130402;20130502;49
5;2013;Mai;20130502;20130531;46
5;2013;Juni;20130531;20130702;50
5;2013;Juli;20130702;20130802;60
5;2013;August;20130802;20130830;52
5;2013;September;20130830;20131001;47
5;2013;Oktober;20131001;20131031;39
5;2013;November;20131031;20131129;48
5;2013;Dezember;20131129;20131231;36
5;2014;Januar;20131231;20140130;30
5;2014;Februar;20140130;20140228;29
5;2014;März;20140228;20140331;54
5;2014;April;20140331;20140501;56
5;2014;Mai;20140501;20140602;43
5;2014;Juni;20140602;20140702;48
5;2014;Juli;20140702;20140731;47
5;2014;August;20140731;20140829;38
5;2014;September;20140829;20140930;56
5;2014;Oktober;20140930;20141031;41
5;2014;November;20141031;20141128;45
5;2014;Dezember;20141128;20141230;45
5;2015;Januar;20141230;20150130;46
5;2015;Februar;20150130;20150302;48
5;2015;März;20150302;20150331;57
5;2015;April;20150331;20150430;56
5;2015;Mai;20150430;20150601;47
5;2015;Juni;20150601;20150629;48
5;2015;Juli;20150629;20150731;45
5;2015;August;20150731;20150902;57
5;2015;September;20150902;20150930;44
5;2015;Oktober;20150930;20151029;56
5;2015;November;20151029;20151202;40
5;2015;Dezember;20151202;20151230;36
5;2016;Januar;20151230;20160201;42
5;2016;Februar;20160201;20160301;50
5;2016;März;20160301;20160331;64
5;2016;April;20160331;20160428;49
5;2016;Mai;20160428;20160530;54
5;2016;Juni;20160530;20160629;47
5;2016;Juli;20160629;20160729;43
5;2016;August;20160729;20160830;45
5;2016;September;20160830;20160929;59
5;2016;Oktober;20160929;20161031;47
5;2016;November;20161031;20161129;44
5;2016;Dezember;20161129;20161230;51
5;2017;Januar;20161230;20170131;60
5;2017;Februar;20170131;20170302;45
5;2017;März;20170302;20170330;49
5;2017;April;20170330;20170502;56
5;2017;Mai;20170502;20170601;51
5;2017;Juni;20170601;20170629;45
5;2017;Juli;20170629;20170731;36
5;2017;August;20170731;20170830;45
5;2017;September;20170830;20170929;39
5;2017;Oktober;20170929;20171030;32
5;2017;November;20171030;20171129;41
5;2017;Dezember;20171129;20171229;43
5;2018;Januar;20171229;20180129;31
5;2018;Februar;20180129;20180228;47
5;2018;März;20180228;20180329;41
5;2018;April;20180329;20180427;42
5;2018;Mai;20180427;20180529;53
5;2018;Juni;20180529;20180629;48
5;2018;Juli;20180629;20180730;49
5;2018;August;20180730;20180831;42
5;2018;September;20180831;20181002;48
5;2018;Oktober;20181002;20181101;45
5;2018;November;20181101;20181201;39
5;2018;Dezember;20181201;20190102;36
5;2019;Januar;20190102;20190131;48
5;2019;Februar;20190131;20190301;49
5;2019;März;20190301;20190330;38
5;2019;April;20190330;20190429;42
5;2019;Mai;20190429;20190531;45
5;2019;Juni;20190531;20190701;34
5;2019;Juli;20190701;20190801;43
5;2019;August;20190801;20190830;39
5;2019;September;20190830;20190928;38
5;2019;Oktober;20190928;20191029;27
5;2019;November;20191029;20191129;36
5;2019;Dezember;20191129;20191227;31
5;2020;Januar;20191230;20200131;30
5;2020;Februar;20200131;20200303;25
5;2020;März;20200303;20200329;32
5;2020;April;20200329;20200502;35
5;2020;Mai;20200502;20200531;38
5;2020;Juni;20200531;20200705;28
5;2020;Juli;20200705;20200802;33
5;2020;August;20200802;20200906;34
5;2020;September;20200906;20201003;42
5;2020;Oktober;20201003;20201101;24
5;2020;November;20201101;20201128;31
5;2020;Dezember;20201128;20210103;26
5;2021;Januar;20210104;20210202;34
5;2021;Februar;20210202;20210302;35
5;2021;März;20210302;20210330;42
5;2021;April;20210331;20210430;41
5;2021;Mai;20210501;20210531;25
5;2021;Juni;20210601;20210629;35
5;2021;Juli;20210630;20210729;28
5;2021;August;20210730;20210827;25
5;2021;September;20210828;20210928;37
5;2021;Oktober;20210929;20211027;29
5;2021;November;20211028;20211127;34
5;2021;Dezember;20211128;20211229;33
